contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,spread
AAPL250801P00170000,2025-07-31 14:53:37+00:00,170.0,0.02,0.02,0.03,0.01,100.0,5851.0,6589,1.0781296093750001,False,REGULAR,USD,0.009999999999999998
AAPL250801P00175000,2025-07-31 15:08:12+00:00,175.0,0.04,0.04,0.05,-0.010000002,-25.000004,2454.0,9586,1.01172369140625,False,REGULAR,USD,0.010000000000000002
AAPL250801P00180000,2025-07-31 15:09:37+00:00,180.0,0.07,0.06,0.07,0.0,0.0,753.0,4373,0.9101571484375,False,REGULAR,USD,0.010000000000000009
AAPL250801P00182500,2025-07-31 15:09:36+00:00,182.5,0.11,0.11,0.12,0.019999996,22.222216,124.0,678,0.91211025390625,False,REGULAR,USD,0.009999999999999995
AAPL250801P00185000,2025-07-31 15:09:25+00:00,185.0,0.14,0.13,0.14,0.030000001,27.272728,610.0,9564,0.8554701953125,False,REGULAR,USD,0.010000000000000009
AAPL250801P00187500,2025-07-31 15:11:47+00:00,187.5,0.22,0.21,0.22,0.049999997,31.249998,3182.0,2509,0.842775009765625,False,REGULAR,USD,0.010000000000000009
AAPL250801P00190000,2025-07-31 15:11:35+00:00,190.0,0.29,0.29,0.3,0.08,40.0,2229.0,4382,0.807619111328125,False,REGULAR,USD,0.010000000000000009
AAPL250801P00192500,2025-07-31 15:09:43+00:00,192.5,0.39,0.39,0.4,0.059999973,18.181808,1931.0,2890,0.7675804492187501,False,REGULAR,USD,0.010000000000000009
AAPL250801P00195000,2025-07-31 15:10:52+00:00,195.0,0.6,0.6,0.61,0.110000014,22.000004,6572.0,9209,0.7534204345703125,False,REGULAR,USD,0.010000000000000009
AAPL250801P00200000,2025-07-31 15:11:24+00:00,200.0,1.43,1.45,1.47,0.26999998,23.275862,4654.0,18531,0.7553735400390625,False,REGULAR,USD,0.020000000000000018
AAPL250801P00202500,2025-07-31 15:11:24+00:00,202.5,2.09,2.11,2.14,0.32999992,18.749996,2125.0,9801,0.754885263671875,False,REGULAR,USD,0.03000000000000025
AAPL250801P00205000,2025-07-31 15:11:37+00:00,205.0,3.01,2.96,2.99,0.46000004,18.039217,5798.0,14868,0.7536645727539062,False,REGULAR,USD,0.03000000000000025
AAPL250801P00207500,2025-07-31 15:11:46+00:00,207.5,4.1,4.05,4.15,0.4599998,12.637357,3094.0,5953,0.7634301000976562,False,REGULAR,USD,0.10000000000000053
AAPL250801P00210000,2025-07-31 15:12:15+00:00,210.0,5.35,5.35,5.45,0.5499997,11.4345045,5172.0,15362,0.7668480346679689,True,REGULAR,USD,0.10000000000000053
AAPL250801P00212500,2025-07-31 15:09:44+00:00,212.5,6.67,6.85,6.95,0.42000008,6.720001,707.0,11102,0.7692894165039064,True,REGULAR,USD,0.10000000000000053
AAPL250801P00215000,2025-07-31 15:05:01+00:00,215.0,8.08,8.5,8.6,-0.029999733,-0.36991042,766.0,12945,0.7639183764648438,True,REGULAR,USD,0.09999999999999964
AAPL250801P00217500,2025-07-31 15:05:40+00:00,217.5,10.0,10.4,10.5,0.3000002,3.0927856,93.0,1836,0.7727073510742188,True,REGULAR,USD,0.09999999999999964
AAPL250801P00220000,2025-07-31 14:41:15+00:00,220.0,11.79,12.15,12.4,-0.5699997,-4.611648,67.0,1797,0.72851833984375,True,REGULAR,USD,0.25
AAPL250801P00222500,2025-07-31 14:14:05+00:00,222.5,13.85,14.55,14.75,-0.049999237,-0.35970676,47.0,1520,0.7919942675781251,True,REGULAR,USD,0.1999999999999993
AAPL250801P00225000,2025-07-31 15:08:10+00:00,225.0,16.45,16.7,17.05,0.20000076,1.2307739,403.0,2032,0.7944356494140624,True,REGULAR,USD,0.3500000000000014
AAPL250801P00227500,2025-07-31 14:34:27+00:00,227.5,18.4,18.45,19.4,-0.35000038,-1.8666687,3.0,67,0.6543003320312502,True,REGULAR,USD,0.9499999999999993
AAPL250801P00230000,2025-07-31 14:29:12+00:00,230.0,20.9,21.2,21.65,-0.80000114,-3.686641,14.0,311,0.72070591796875,True,REGULAR,USD,0.4499999999999993
AAPL250801P00232500,2025-07-30 16:28:36+00:00,232.5,22.55,23.65,24.9,0.0,0.0,11.0,148,0.992187578125,True,REGULAR,USD,1.25
AAPL250801P00235000,2025-07-31 14:59:17+00:00,235.0,26.25,26.35,26.8,3.4699993,15.232657,531.0,1,0.9589847851562499,True,REGULAR,USD,0.4499999999999993
AAPL250801P00240000,2025-07-30 18:57:25+00:00,240.0,31.55,31.1,32.25,0.0,0.0,1.0,5,1.154301103515625,True,REGULAR,USD,1.1499999999999986
AAPL250801P00245000,2025-07-31 14:50:11+00:00,245.0,35.76,35.7,37.6,4.659998,14.983915,1.0,1,1.2705114599609373,True,REGULAR,USD,1.8999999999999986
